parameter_name,Ly6Clow monocyte percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_018_001
mouse_life_stage,Early adult
analysis_id,d6zyh49f2v7pf48
gene_symbol,Lamb3
pvalue,0.1090457
gene_accession_id,MGI:99915
