analysis_id,30p9hk0j908d2rd
gene_accession_id,MGI:1922855
parameter_name,Retinal Blood Vessels
parameter_id,IMPC_EYE_024_001
mouse_life_stage,Early adult
pvalue,0.4101081
gene_symbol,Kdm5b
mouse_strain,C57BL
