analysis_id,33f02kfr2ba27ym
mouse_life_stage,Early adult
gene_symbol,Ntmt2
pvalue,0.3178375
mouse_strain,C57BL
parameter_name,Corneal vascularization
parameter_id,IMPC_EYE_009_001
gene_accession_id,MGI:2685053
