parameter_name,Whole arena resting time
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
pvalue,0.5938773
gene_symbol,Sgip1
analysis_id,7r4y1j5f2cql89x
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_007_001
