analysis_id,4ifm86h58c8yxte
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kcng1
pvalue,0.6449335
parameter_id,IMPC_CSD_047_001
