analysis_id,78aj4bvt1l2c68l
parameter_id,IMPC_ECG_003_001
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,CV
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.981634
