analysis_id,a61gu2ph97f3ryh
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2946651
gene_symbol,Dmap1
parameter_name,Others
parameter_id,IMPC_IMM_006_001
gene_accession_id,MGI:1913483
