parameter_name,PQ
mouse_life_stage,Late adult
analysis_id,pz42s57104dg9lv
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
pvalue,0.4639828
