analysis_id,6q0ycitv957ucd0
mouse_strain,C57BL
parameter_name,Distance travelled - total
pvalue,0.1985937
gene_symbol,Fgb
mouse_life_stage,E12.5
gene_accession_id,MGI:99501
parameter_id,JAXLA_OFD_020_001
