analysis_id,3704gr26b3krk87
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
gene_symbol,Cntfr
pvalue,0.8576264
gene_accession_id,MGI:99605
parameter_id,M-G-P_005_001_004
mouse_life_stage,Early adult
