gene_symbol,Dmap1
parameter_id,HRWLLA_OFD_017_001
gene_accession_id,MGI:1913483
parameter_name,Center average speed
pvalue,0.979928
mouse_life_stage,Early adult
analysis_id,1356kr85r9o2s8s
mouse_strain,C57BL
