analysis_id,1z78dh63njd664h
pvalue,0.7914879
parameter_name,Limb coat/hair presence
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
gene_symbol,Golm2
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
