analysis_id,0b9uy7weq36x393
gene_symbol,Slc17a9
parameter_id,MGP_IMM_015_001
pvalue,0.07221853
gene_accession_id,MGI:1919107
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting CD8+ T cells - % of CD8+
