analysis_id,f0xx2shp3c89f57
gene_symbol,Tnfsf10
mouse_strain,C57BL
gene_accession_id,MGI:107414
parameter_id,M-G-P_009_001_003
pvalue,0.4561883
mouse_life_stage,Early adult
parameter_name,Body weight
