parameter_id,JAXLA_CSD_077_001
gene_accession_id,MGI:104640
gene_symbol,Rab17
analysis_id,19f6b7k0k5591d2
mouse_life_stage,Early adult
pvalue,0.9017476
mouse_strain,C57BL
parameter_name,Contact righting
