analysis_id,77j4n4353jo3b6j
gene_symbol,Dmap1
parameter_name,Effector NK cells - % of CD45+
gene_accession_id,MGI:1913483
parameter_id,MGP_IMM_099_001
pvalue,0.4183006
mouse_life_stage,E12.5
mouse_strain,C57BL
