parameter_id,ICS_FEA_019_001
gene_symbol,Dmap1
mouse_life_stage,E12.5
analysis_id,38wj67y7u63wv88
parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
pvalue,0.325861
gene_accession_id,MGI:1913483
