parameter_id,IMPC_ECH_008_001
pvalue,0.9040988
mouse_strain,C57BL
analysis_id,o744z7d428715a7
parameter_name,LVIDd
gene_symbol,Nanp
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
