analysis_id,u072qg19gu0gm0y
gene_symbol,Ift74
gene_accession_id,MGI:1914944
pvalue,0.7446931
parameter_id,IMPC_ECG_028_001
parameter_name,QT
mouse_life_stage,Early adult
mouse_strain,C57BL
