gene_symbol,Bmp7
pvalue,0.190349
parameter_id,ESLIM_011_001_702
mouse_life_stage,Early adult
parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
analysis_id,l1o25831444krp2
gene_accession_id,MGI:103302
