gene_symbol,Trpa1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_009
parameter_name,Periphery average speed
analysis_id,11u59f2tg0999e0
gene_accession_id,MGI:3522699
pvalue,0.5170034
