parameter_name,Retinal Blood Vessels
pvalue,8.493233e-06
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
gene_symbol,Mov10
analysis_id,5w9v941z2s102r0
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
