analysis_id,xl5wdp08c7enc4t
gene_symbol,Hspa5
gene_accession_id,MGI:95835
parameter_id,MGP_CSD_015_001
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.2529459
parameter_name,Head coat/hair presence
