Parameter_name,Fusion of vertebrae
Mouse_strain,C57BL
Parameter_id,M-G-P_006_001_026
Mouse_life_stage,Early adult
Pvalue,0.8346557
Analysis_id,f0eb9xx6fb852fr
gene_accession_id,MGI:2684980
Gene_symbol,Mms22l
