parameter_id,HRWLLA_DXA_007_001
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
gene_accession_id,MGI:2670995
analysis_id,1f33t9915fr3loe
pvalue,0.369432
mouse_strain,C57BL
gene_symbol,Trp53i11
