gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_strain,C57BL
pvalue,0.1402527
mouse_life_stage,E9.5
parameter_id,MGP_IMM_067_001
parameter_name,CD11b-low cDC - % of cDC
analysis_id,5571gl076k2969i
