mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.06426161
parameter_id,IMPC_GEL_011_001
analysis_id,9bup1l78592w0x7
parameter_name,Embryo turning
mouse_strain,C57BL
