analysis_id,74562440th6hjhe
gene_accession_id,MGI:1918025
parameter_id,IMPC_GEP_076_001
parameter_name,Cleft palate
pvalue,0.05086675
gene_symbol,Zmynd8
mouse_strain,129SV
mouse_life_stage,Early adult
