gene_symbol,Stk35
pvalue,0.6117926
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
analysis_id,21fz36ulq139csm
parameter_id,IMPC_FEA_107_001
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
