gene_symbol,Nemp2
pvalue,0.6061672
gene_accession_id,MGI:2444113
parameter_name,Hemoglobin
analysis_id,gimsj6p7e0tqj13
mouse_strain,C57BL
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
