parameter_name,Eye
mouse_strain,C57BL
gene_symbol,Orc2
mouse_life_stage,E9.5
analysis_id,8g1t4xjdx7pkn6c
parameter_id,M-G-P_013_001_001
gene_accession_id,MGI:1328306
pvalue,0.4204885
