parameter_id,IMPC_GPO_002_001
gene_symbol,Ufc1
mouse_strain,C57BL
analysis_id,0t0sdcu09em3538
gene_accession_id,MGI:1913405
pvalue,0.7525714
parameter_name,Placenta Morphology
mouse_life_stage,Early adult
