parameter_id,IMPC_GEL_057_001
analysis_id,i0unf937n0vb939
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
pvalue,0.236972
mouse_strain,C57BL
parameter_name,Heart looping
gene_symbol,Ppm1j
