analysis_id,5qr1w89q2iowbga
parameter_id,JAXLA_DXA_009_001
gene_symbol,AU040320
parameter_name,Fat/Body weight
mouse_strain,C57BL
pvalue,0.1277879
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
