analysis_id,7699qqs87r9x3g4
pvalue,0.5177372
parameter_name,Retina (combined)
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_001
gene_accession_id,MGI:88071
gene_symbol,Arnt
mouse_life_stage,Early adult
