parameter_name,eye size
mouse_life_stage,Early adult
analysis_id,8l9z18455y24316
gene_accession_id,MGI:2442483
mouse_strain,C57BL
pvalue,0.869752
parameter_id,ESLIM_001_001_117
gene_symbol,Usp37
