gene_symbol,Car13
pvalue,0.9528129
analysis_id,73080p4t374r9h5
gene_accession_id,MGI:1931322
parameter_name,Periphery distance travelled
mouse_strain,C57BL
parameter_id,JAX_OFD_010_001
mouse_life_stage,Early adult
