analysis_id,c8bbcqx0d0wd3qc
parameter_id,MGP_MLN_010_001
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_symbol,Nanp
gene_accession_id,MGI:1914561
pvalue,0.5231172
parameter_name,Resting Treg cells - % of Treg
