analysis_id,1q811gatcgrzmem
parameter_name,Creatinine
gene_symbol,Slc17a9
pvalue,0.5386371
parameter_id,IMPC_CBC_005_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
