analysis_id,38gqnu20z8aq3f6
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6289033
parameter_name,Total protein
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_id,IMPC_CBC_006_001
