gene_symbol,Wars2
parameter_name,Whole arena resting time
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
pvalue,0.8166468
parameter_id,HRWLLA_OFD_007_001
analysis_id,tcvjik8s3l5mce6
mouse_strain,C57BL
