parameter_id,MGP_CSD_025_001
mouse_life_stage,Early adult
pvalue,0.1707053
gene_symbol,Slx4ip
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
gene_accession_id,MGI:1921493
analysis_id,p9ir9957t7p63d1
