parameter_name,HR
pvalue,0.671708
analysis_id,e538q965gta9rx5
parameter_id,IMPC_ECG_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
