parameter_id,JAX_LDT_004_001
mouse_life_stage,Early adult
analysis_id,qb4q26c72ijr9fl
mouse_strain,C57BL
gene_symbol,Etfdh
parameter_name,Dark side time spent
pvalue,0.8822898
gene_accession_id,MGI:106100
