analysis_id,bd0djvi351ip111
mouse_strain,C57BL
parameter_id,MGP_MLN_014_001
gene_symbol,Tbl1xr1
pvalue,0.8526144
mouse_life_stage,Late adult
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:2441730
