parameter_name,Lower teeth appearance
parameter_id,IMPC_CSD_070_001
gene_accession_id,MGI:97054
analysis_id,8h8z53r0tf95rk9
pvalue,0.9739388
gene_symbol,Mov10
mouse_strain,C57BL
mouse_life_stage,Early adult
