analysis_id,14k97710o17y1ua
parameter_name,Tibia length
pvalue,0.7287459
mouse_strain,C57BL
parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
gene_symbol,Ssr2
