analysis_id,lb557p57s2gvn48
mouse_life_stage,E18.5
parameter_name,NK Subsets (Q2)
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.690593
parameter_id,IMPC_IMM_055_001
