analysis_id,aeeenx9bhy5axky
parameter_name,Anophthalmia
pvalue,0.352555
parameter_id,IMPC_GEO_048_002
mouse_strain,B6J
mouse_life_stage,Early adult
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
