parameter_id,MGP_MLN_006_001
pvalue,0.2529681
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
gene_accession_id,MGI:88328
mouse_strain,C57BL
gene_symbol,Tnfsf8
analysis_id,0m115205nl24o31
