parameter_id,JAX_URI_002_001
analysis_id,z42qk5kkd3r64o7
pvalue,0.4185957
gene_symbol,Toporsl
mouse_strain,C57BL
parameter_name,Creatinine
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
