parameter_id,IMPC_IMM_065_001
mouse_strain,C57BL
parameter_name,B2B Cells
pvalue,0.6267855
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_life_stage,E12.5
analysis_id,79o2r94u19q06bc
