gene_symbol,Ivd
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:1929242
analysis_id,4qthq0uc7a81aw7
parameter_id,MGP_MLN_010_001
pvalue,0.5433303
mouse_life_stage,Early adult
mouse_strain,C57BL
