analysis_id,30k69lh2b87pc7i
parameter_id,IMPC_HEM_038_001
gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
pvalue,0.5818577
parameter_name,Basophil differential count
mouse_strain,C57BL
mouse_life_stage,Early adult
