gene_symbol,Rab17
mouse_strain,C57BL
gene_accession_id,MGI:104640
parameter_id,M-G-P_013_001_001
parameter_name,Eye
analysis_id,g75245h76c2yp91
mouse_life_stage,Early adult
pvalue,0.6157188
