parameter_name,Lean mass
mouse_strain,C57BL
parameter_id,JAXLA_DXA_003_001
pvalue,0.9283036
analysis_id,bs0v0k9791o3r88
gene_accession_id,MGI:1924315
gene_symbol,Ints7
mouse_life_stage,Early adult
