analysis_id,6xmhr87ruc55262
pvalue,0.9097484
parameter_id,M-G-P_016_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
gene_symbol,Pum1
mouse_strain,C57BL
parameter_name,Mean-cell-volume
