gene_symbol,Cldn19
mouse_strain,C57BL
parameter_id,IMPC_HEM_006_001
pvalue,0.3553695
analysis_id,n121qv65r2hi260
mouse_life_stage,Early adult
parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:3033992
