gene_symbol,Ivd
parameter_name,PQ
pvalue,0.4189342
parameter_id,IMPC_ECG_005_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1929242
analysis_id,83xr2mch4xtfzyc
