analysis_id,c5tvu9yr75dc856
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Mms22l
parameter_id,IMPC_EYE_009_001
pvalue,0.5861123
parameter_name,Corneal vascularization
