mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
mouse_strain,C57BL
parameter_id,IMPC_FEA_107_001
gene_symbol,AU040320
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
analysis_id,0h71li0c7104w97
pvalue,0.5587103
