analysis_id,o62j1484o5pk391
mouse_life_stage,Early adult
gene_symbol,Fgb
pvalue,0.4594894
mouse_strain,C57BL
parameter_name,Time mobile light side
gene_accession_id,MGI:99501
parameter_id,JAX_LDT_003_001
