parameter_name,DN CD25- NKT cells
mouse_strain,C57BL
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
pvalue,0.7000414
analysis_id,0474f721lpd3ty7
parameter_id,IMPC_IMM_025_001
gene_symbol,Mapkap1
