analysis_id,7950v3z906724f4
mouse_strain,C57BL
gene_accession_id,MGI:1339969
pvalue,0.1164367
mouse_life_stage,Early adult
parameter_name,Hindlimb nail - number
gene_symbol,Gja10
parameter_id,IMPC_CSD_051_002
